親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
ail		ail			noun	Ai’r (ethnicity; country)	
at		at			conjunction for nouns	and	
auc		auc			noun	all, everything	
belpic	*	belpic			noun	play, game	
belpic	*	belpic			verb	to play	
belpic	*	belpic	belpicit	belpicit	transitive verb	to play <i>something</i>	
cene		cene			preverbal auxiliary verb	can <i>do</i>, be able to <i>do</i>	
cet	*	cet			noun suffix	(indicates plurality; indicates that there are many)	
cet	*	cet			preverbal auxiliary verb	quite, very	
cet	*	cet	cetit	cetit	transitive verb	to increase <i>something</i>	
cet	*	cet	cetleti	cetleti	adjective	many, much, a lot of	
ci		ci			noun	it, he, she, they, that	
co	*	co			noun	you	
co	*	co	coleti	coleti	adjective	your, yours	
cul		cul			noun	method, tool, way	
delu		delu			preverbal auxiliary verb	need to <i>do</i>, should <i>do</i>	
e		e			special verb	to be	
et	*	et			noun	other, another	
et	*	et	etleti	etleti	adjective	other, another	
it		it			transitive verb	to do <i>something</i>	
jo		jo			preposition	in, to, from, at, by, on	
julo		julo			noun	thing, stuff	
ka	*¹	ka			noun	this, these	
ka	*¹	ka	kaleti	kaleti	adjective	this, these	
ka	*²	ka	kaleti	kaleti	numeral	2, two　　Note: only used when it directly follows another numeral	
kije		kije			postverbal auxiliary verb	(indicates the direction of an action towards the subject)	
kile		kile			verb	to come	
kin	*	kin			noun	value, number, score	
kin	*	kin			verb	（〖kin jo [1]〗の形で）数が 〖[1]〗 にのぼる、数が 〖[1]〗 に達する	
kin	*	kin	kinpit	kinpit	transitive verb	to count <i>something</i>	
lata		lata			noun	person, people	
lauzait		lauzait			transitive verb	to make <i>something</i>, to create <i>something</i>	
leti		leti			special conjunction	-’s (possessive marker; creates a modifying phrase)	
letit		letit			transitive verb	to have <i>something</i>, to take hold of <i>something</i>, to obtain <i>something</i>, to take <i>something</i>, to get <i>something</i>	
luc	¹	luc	lucit	LUCIT	transitive verb	to use <i>something</i>　　　　　　　　　　　　　　Note: this word is hardly ever used as an intransitive verb.	
luc	²	luc			verb	to end　　　　　　　　　　　Note: this word is never used as a transitive verb.	
lucuc	*	lucuc			verb	to end	
lucuc	*	lucuc	lucucit	lucucit	transitive verb	to end <i>something</i>	
lukup	*	lukup			noun	language	
lukup	*	lukup			verb	to talk, to speak	
lukup	*	lukup	lukupit	lukupit	transitive verb	to say <i>something</i>, to tell <i>something</i>	
lukup	*	lukup	lukup-lukup	lukup-lukup	noun	writing, discussion, message	
mak	*	mak			preverbal auxiliary verb	<i>do</i> again, <i>do</i> once more	
mak	*	mak	makleti	makleti	numeral	2, two	
mak	*	mak	mak-mak	mak-mak	preverbal auxiliary verb	repeatedly <i>do</i>	
mi		mi			noun	I, me	
mol	*	mol			special verb	to exist, to be present　　　　Note: this word is never followed by 〖leti〗 .	
mol	*	mol			postverbal auxiliary verb	be <i>do</i>ing　　　Note: this word is rarely used in Ai’r	
molip	*	molip			special verb	to not exist, to be nonexistent, to not be present	
molip	*	molip	molipleti	molipleti	adjective	nonexistent, not present	
nip	*	nip			verb	to disappear, to vanish	
nip	*	nip			preverbal auxiliary verb	not <i>do</i>	
nip	*	nip			interjection	no	
nip	*	nip	nipit	nipit	transitive verb	to refuse <i>something</i>, to ignore <i>something</i>, to lose <i>something</i>, to remove <i>something</i>, to discard <i>something</i>	
nip	*	nip	nipleti	nipleti	numeral	0, zero	
nole		nole			noun	時、場合、（数詞を用いて、〖[1] nole〗 の形で）〖[1]〗回	
nuxep	*	nuxep			adjective	small	
nuxep	*	nuxep			noun	小島【小島】（地名）	
nuxep	*	nuxep	nuxep-nuxep	NUXEP-NUXEP	adjective	slight, tiny, meagre	
o		o			conjunction for nouns	or	
pac	*	pac			preverbal auxiliary verb	start to <i>do</i>	
pac	*	pac			verb	to begin, to start	
pac	*	pac			noun	beginning, start	
pan	*	pan			preverbal auxiliary verb	一人で、単独で、孤立して	
pan	*	pan	panit	panit	transitive verb	to unite <i>something</i>, to unify <i>something</i>	
pan	*	pan	panleti	panleti	numeral	1, one	
pan	*	pan	panleti	panleti	adjective	same, identical	
panka	*	panka			verb	to be good	
panka	*	panka			preverbal auxiliary verb	うまく	
panka	*	panka	pankaleti	pankaleti	adjective	good	
pemecepe	*	pemecepe			noun	東諸島共和国連合、ペメセペ（自治体名）	
pemecepe	*	pemecepe	pemecepe lukup	pemecepe lukup	noun	Pemecepe Creole	
pemecepe	*	pemecepe	pemecepe lujot	pemecepe lujot	noun	Pemecepe alphabet	
pi		pi			conjunction for sentences	～して、～したが、～すると	
poto		poto			noun	place, location	
tude	*	tude			verb	移動する	
tude	*	tude			postverbal auxiliary verb	主語から離れる動作の方向を示す	
tude	*	tude	tudeit	tudeit	transitive verb	～を動かす、～を移動させる	
xel	*	xel	xelit	XELIT	transitive verb	to look at <i>something</i>, to see <i>something</i>, to watch <i>something</i>	
xel	*	xel	xelit tude	XELIT TUDE	transitive verb	to inspect <i>something</i>	
xel	*	xel	xelit kije	XELIT KIJE	transitive verb	to discover <i>something</i>	
xep	*	xep			adjective	large	
xep	*	xep	xep u	xep u	noun	xenonen-u (name of a letter in the Lipāshe alphabet)	
xep	*	xep	xepit	XEPIT	verb	to enlarge, to expand	
xep	*	xep	xep-xep	XEP-XEP	adjective	huge, enormous, tremendous	
