親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
シェㇷ゚	*	xep			形容詞	大きい	
シェㇷ゚	*	xep	シェㇷ゚ ウ	xep u	名詞	シェノネン・ウー（リパーシェの文字名）	
シェㇷ゚	*	xep	シェピㇳ	XEPIT	動詞	大きくする、拡張する	
シェㇷ゚	*	xep	シェㇷ゚ シェㇷ゚	XEP-XEP	形容詞	膨大な、莫大な、途方もない	
シェㇽ	*	xel	シェリㇳ	XELIT	他動詞	～を見る	
シェㇽ	*	xel	シェリㇳ トゥデ	XELIT TUDE	他動詞	～を調べる	
シェㇽ	*	xel	シェリㇳ キイェ	XELIT KIJE	他動詞	～を発見する	
スィ		ci			名詞	それ、かれ、あれ	
スㇽ		cul			名詞	方法、道具	
セㇳ	*	cet			名詞接尾辞	多数性を示す接辞	
セㇳ	*	cet			前置助動詞	とても	
セㇳ	*	cet	セティㇳ	cetit	他動詞	～を増やす	
セㇳ	*	cet	セㇳレティ	cetleti	形容詞	多くの	
セネ		cene			前置助動詞	～できる		
ソ	*	co			名詞	あなた	
ソ	*	co	ソレティ	coleti	形容詞	あなたの	
