親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品	語釈	品詞欄の直後に改行を強制
アイㇽ		ail			名	アイル（民族名・国名）	
アウㇲ		auc			名	全て	
アㇳ		at			名詞接続	と	
イㇳ		it			他動	～をする	
エ		e			特殊動	～である	
エㇳ	*	et			名	他	
エㇳ	*	et	エㇳレティ	etleti	形容	他の	
オ		o			名詞接続	または	
カ	*¹	ka			名	これ	
カ	*¹	ka	カレティ	kaleti	形容	この	
カ	*²	ka	カレティ	kaleti	数	2つの　　備考：他の数詞の直後でのみ用いられる	
キイェ		kije			後置助動	主語へ向かう動作の方向を示す	
キレ		kile			動	来る	
キン	*	kin			名	値、数、点数	
キン	*	kin			動	（〖kin jo [1]〗の形で）数が 〖[1]〗 にのぼる、数が 〖[1]〗 に達する	
キン	*	kin	キンピㇳ	kinpit	他動	～を数える	
シェㇷ゚	*	xep			形容	大きい	
シェㇷ゚	*	xep	シェㇷ゚ ウ	xep u	名	シェノネン・ウー（リパーシェの文字名）	
シェㇷ゚	*	xep	シェピㇳ	XEPIT	動	大きくする、拡張する	
シェㇷ゚	*	xep	シェㇷ゚ シェㇷ゚	XEP-XEP	形容	膨大な、莫大な、途方もない	
シェㇽ	*	xel	シェリㇳ	XELIT	他動	～を見る	
シェㇽ	*	xel	シェリㇳ トゥデ	XELIT TUDE	他動	～を調べる	
シェㇽ	*	xel	シェリㇳ キイェ	XELIT KIJE	他動	～を発見する	
スィ		ci			名	それ、かれ、あれ	
スㇽ		cul			名	方法、道具	
セㇳ	*	cet			名詞接尾辞	多数性を示す接辞	
セㇳ	*	cet			前置助動	とても	
セㇳ	*	cet	セティㇳ	cetit	他動	～を増やす	
セㇳ	*	cet	セㇳレティ	cetleti	形容	多くの	
セネ		cene			前置助動	～できる		
ソ	*	co			名	あなた	
ソ	*	co	ソレティ	coleti	形容	あなたの	
デル		delu			前置助動	～する必要がある、～のはずだ	
トゥデ	*	tude			動	移動する	
トゥデ	*	tude			後置助動	主語から離れる動作の方向を示す	
トゥデ	*	tude	トゥデイㇳ	tudeit	他動	～を動かす、～を移動させる	
ニㇷ゚	*	nip			動	消える、なくなる	
ニㇷ゚	*	nip			前置助動	～ない	
ニㇷ゚	*	nip			間投	いいえ	
ニㇷ゚	*	nip	ニピㇳ	nipit	他動	～を拒む、～を無視する、～をなくす、～を取り除く、～を捨てる	
ニㇷ゚	*	nip	ニㇷ゚レティ	nipleti	数	0個の	
ヌシェㇷ゚	*	nuxep			形容	小さい	
ヌシェㇷ゚	*	nuxep			名	小島【小島】（地名）	
ヌシェㇷ゚	*	nuxep	ヌシェㇷ゚ ヌシェㇷ゚	NUXEP-NUXEP	形容	微小な、わずかな	
ノレ		nole			名	時、場合、（数詞を用いて、〖[1] nole〗 の形で）〖[1]〗回	
パㇲ	*	pac			前置助動	～し始める	
パㇲ	*	pac			動	始まる	
パㇲ	*	pac			名	始まり	
パン	*	pan			前置助動	一人で、単独で、孤立して	
パン	*	pan	パニㇳ	panit	他動	統一する	
パン	*	pan	パンレティ	panleti	数	一つの	
パン	*	pan	パンレティ	panleti	形容	同じ	
パンカ	*	panka			動	良い	
パンカ	*	panka			前置助動	うまく	
パンカ	*	panka	パンカレティ	pankaleti	形容	良い	
ピ		pi			文接続	～して、～したが、～すると		
ペメセペ	*	pemecepe			名	東諸島共和国連合、ペメセペ（自治体名）	
ペメセペ	*	pemecepe	ペメセペ ルクㇷ゚	pemecepe lukup	名	東島通商語
ペメセペ	*	pemecepe	ペメセペ ルヨㇳ	pemecepe lujot	名	東島通商語の文字、ペメセペ・ルヨット
ベㇽピㇲ	*	belpic			名	遊び、遊戯	
ベㇽピㇲ	*	belpic			動	遊ぶ	
ベㇽピㇲ	*	belpic	ベㇽピスィㇳ	belpicit	他動	～を遊ぶ	
ポト		poto			名	場所	
マㇰ	*	mak			前置助動	再び～する、もう一度～する	
マㇰ	*	mak	マㇰレティ	makleti	数	2つの	
マㇰ	*	mak	マㇰ マㇰ	mak-mak	前置助動	繰り返し～する	
ミ		mi			名	私	
モリㇷ゚	*	molip			特殊動	無い、存在しない	
モリㇷ゚	*	molip	モリㇷ゚レティ	molipleti	形容	不存在の	
モㇽ	*	mol			特殊動	ある、存在する　　備考：決して 〖leti〗 を伴わない	
モㇽ	*	mol			後置助動	～している　　　備考：アイルでは使用は稀	
ユロ		julo			名	もの、こと	
ヨ		jo			前置	～において、～へ、～から、～で、～によって	
ラウツァイㇳ		lauzait			他動	～を作る
ラタ		lata			名	人
ルクㇷ゚	*	lukup			名	言語
ルクㇷ゚	*	lukup			動	言う、話す
ルクㇷ゚	*	lukup	ルクピㇳ	lukupit	他動	～と言う、～を話す
ルクㇷ゚	*	lukup	ルクㇷ゚ ルクㇷ゚	lukup-lukup	名	文章、話し合い
ルㇲ	¹	luc	ルスィㇳ	LUCIT	他動	～を使う　　　　　　　　　　　　　　備考：自動詞での使用は極めて稀。
ルㇲ	²	luc			動	終わる　　　　　　　　　　　備考：他動詞として用いない。
ルスㇲ	*	lucuc			動	終わる
ルスㇲ	*	lucuc	ルススィㇳ	lucucit	他動	～を終える
レティ		leti			特殊接続	～の～、～な～、～する～
レティㇳ		letit			他動	～を持つ、～を手に取る
