親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
アイㇽ		ail			名詞	アイル（民族名・国名）	
アウㇲ		auc			名詞	全て	
アㇳ		at			名詞接続詞	と	
イㇳ		it			他動詞	～をする	
エ		e			特殊動詞	～である	
エㇳ	*	et			名詞	他	
エㇳ	*	et	エㇳレティ	etleti	形容詞	他の	
オ		o			名詞接続詞	または	
カ	*¹	ka			名詞	これ	
カ	*¹	ka	カレティ	kaleti	形容詞	この	
カ	*²	ka	カレティ	kaleti	数詞	2つの　　備考：他の数詞の直後でのみ用いられる	
キイェ		kije			後置助動詞	主語へ向かう動作の方向を示す	
キレ		kile			動詞	来る	
キン	*	kin			名詞	値、数、点数	
キン	*	kin			動詞	（〖kin jo [1]〗の形で）数が 〖[1]〗 にのぼる、数が 〖[1]〗 に達する	
キン	*	kin	キンピㇳ	kinpit	他動詞	～を数える	
シェㇷ゚	*	xep			形容詞	大きい	
シェㇷ゚	*	xep	シェㇷ゚ ウ	xep u	名詞	シェノネン・ウー（リパーシェの文字名）	
シェㇷ゚	*	xep	シェピㇳ	XEPIT	動詞	大きくする、拡張する	
シェㇷ゚	*	xep	シェㇷ゚ シェㇷ゚	XEP-XEP	形容詞	膨大な、莫大な、途方もない	
シェㇽ	*	xel	シェリㇳ	XELIT	他動詞	～を見る	
シェㇽ	*	xel	シェリㇳ トゥデ	XELIT TUDE	他動詞	～を調べる	
シェㇽ	*	xel	シェリㇳ キイェ	XELIT KIJE	他動詞	～を発見する	
スィ		ci			名詞	それ、かれ、あれ	
スㇽ		cul			名詞	方法、道具	
セㇳ	*	cet			名詞接尾辞	多数性を示す接辞	
セㇳ	*	cet			前置助動詞	とても	
セㇳ	*	cet	セティㇳ	cetit	他動詞	～を増やす	
セㇳ	*	cet	セㇳレティ	cetleti	形容詞	多くの	
セネ		cene			前置助動詞	～できる		
ソ	*	co			名詞	あなた	
ソ	*	co	ソレティ	coleti	形容詞	あなたの	
デル		delu			前置助動詞	～する必要がある、～のはずだ	
トゥデ	*	tude			動詞	移動する	
トゥデ	*	tude			後置助動詞	主語から離れる動作の方向を示す	
トゥデ	*	tude	トゥデイㇳ	tudeit	他動詞	～を動かす、～を移動させる	
ニㇷ゚	*	nip			動詞	消える、なくなる	
ニㇷ゚	*	nip			前置助動詞	～ない	
ニㇷ゚	*	nip			間投詞	いいえ	
ニㇷ゚	*	nip	ニピㇳ	nipit	他動詞	～を拒む、～を無視する、～をなくす、～を取り除く、～を捨てる	
ニㇷ゚	*	nip	ニㇷ゚レティ	nipleti	数詞	0個の	
ヌシェㇷ゚	*	nuxep			形容詞	小さい	
ヌシェㇷ゚	*	nuxep			名詞	小島【小島】（地名）	
ヌシェㇷ゚	*	nuxep	ヌシェㇷ゚ ヌシェㇷ゚	NUXEP-NUXEP	形容詞	微小な、わずかな	
ノレ		nole			名詞	時、場合、（数詞を用いて、〖[1] nole〗 の形で）〖[1]〗回	
パㇲ	*	pac			前置助動詞	～し始める	
パㇲ	*	pac			動詞	始まる	
パㇲ	*	pac			名詞	始まり	
パン	*	pan			前置助動詞	一人で、単独で、孤立して	
パン	*	pan	パニㇳ	panit	他動詞	統一する	
パン	*	pan	パンレティ	panleti	数詞	一つの	
パン	*	pan	パンレティ	panleti	形容詞	同じ	
パンカ	*	panka			動詞	良い	
パンカ	*	panka			前置助動詞	うまく	
パンカ	*	panka	パンカレティ	pankaleti	形容詞	良い	
ピ		pi			文接続詞	～して、～したが、～すると		
ペメセペ	*	pemecepe			名詞	東諸島共和国連合、ペメセペ（自治体名）	
ペメセペ	*	pemecepe	ペメセペ ルクㇷ゚	pemecepe lukup	名詞	東島通商語
ペメセペ	*	pemecepe	ペメセペ ルヨㇳ	pemecepe lujot	名詞	東島通商語の文字、ペメセペ・ルヨット
ベㇽピㇲ	*	belpic			名詞	遊び、遊戯	
ベㇽピㇲ	*	belpic			動詞	遊ぶ	
ベㇽピㇲ	*	belpic	ベㇽピスィㇳ	belpicit	他動詞	～を遊ぶ	
ポト		poto			名詞	場所	
マㇰ	*	mak			前置助動詞	再び～する、もう一度～する	
マㇰ	*	mak	マㇰレティ	makleti	数詞	2つの	
マㇰ	*	mak	マㇰ マㇰ	mak-mak	前置助動詞	繰り返し～する	
ミ		mi			名詞	私	
モリㇷ゚	*	molip			特殊動詞	無い、存在しない	
モリㇷ゚	*	molip	モリㇷ゚レティ	molipleti	形容詞	不存在の	
モㇽ	*	mol			特殊動詞	ある、存在する　　備考：決して 〖leti〗 を伴わない	
モㇽ	*	mol			後置助動詞	～している　　　備考：アイルでは使用は稀	
ユロ		julo			名詞	もの、こと	
ヨ		jo			前置詞	～において、～へ、～から、～で、～によって	
ラウツァイㇳ		lauzait			他動詞	～を作る
ラタ		lata			名詞	人
ルクㇷ゚	*	lukup			名詞	言語
ルクㇷ゚	*	lukup			動詞	言う、話す
ルクㇷ゚	*	lukup	ルクピㇳ	lukupit	他動詞	～と言う、～を話す
ルクㇷ゚	*	lukup	ルクㇷ゚ ルクㇷ゚	lukup-lukup	名詞	文章、話し合い
ルㇲ	¹	luc	ルスィㇳ	LUCIT	他動詞	～を使う　　　　　　　　　　　　　　備考：自動詞での使用は極めて稀。
ルㇲ	²	luc			動詞	終わる　　　　　　　　　　　備考：他動詞として用いない。
ルスㇲ	*	lucuc			動詞	終わる
ルスㇲ	*	lucuc	ルススィㇳ	lucucit	他動詞	～を終える
レティ		leti			特殊接続詞	～の～、～な～、～する～
レティㇳ		letit			他動詞	～を持つ、～を手に取る
