軸	axis
皇	Tam
耳	ear
来	come
端	edge
木	tree
筆	pen
兵	soldier
人	human
言	speech
律	law
道	way
山	mountain
声	voice
国	country
銭	money
手	hand
値	value
論	story
此	this
冠	crown
上	up
獣	animal
王	king
島	island
骨	bone
官	officer
行	go
下	down
翰	editor
処	place
水	water
色	colour
草	grass
石	stone
力	power
書	book
再	again
月	moon
撃	hit
硬	hard
南	south
四	four
衣	clothing
識	recognise
急	rush
与	give
引	pull
如	such
我	me
終	end
新	new
善	good
口	mouth
川	river
目	eye
件	thing
即	then
真	true
墨	ink
平	flat
足	foot
紙	paper
術	method
小	small
立	stand
百	hundred
火	fire
果	fruit
壊	break
星	star
字	script
為	do
光	ray
付	put
労	job
等	plural
囲	room
倉	storage
遊	game
集	team
裁	judge
之	’s
将	commander
心	will
