軸	[noun]	stick, rod
軸	[prefix]	中核的な、中心的な
軸	[suffix]	～の中心、～の中核
軸	[abbreviation]	<span class="inline-linzklar">筆兵集</span>【筆兵集】（アイル共和国総務省）
軸人	[noun]	中心人物、（カードゲームの）親
軸言	[noun]	first language, mother tongue
軸律	[noun]	constitution
軸筆	[noun]	pen
軸道	[noun]	specialty
軸付	[noun]	(in computing) instruction pointer, a register indicating the address of the currently executing instruction
軸山	[noun]	Latso (a mountain located in the center of the Isle Republic)
軸声	[noun]	main vowel of a syllable
軸之字集	[noun]	(grammatical component) verb
国軸	[noun]	capital city, 国の中心地
言軸	[noun]	topic
銭軸	[noun]	company, firm, corporation
手軸	[noun]	finger
値軸	[noun]	（セッカイクの）点棒
心軸	[noun]	心臓
裁軸	[noun]	decision-making body, CPU (of a computer) 
裁軸	国論集此冠国之上端裁軸	国会はアイル共和国の最高意思決定機関である。
獣軸	[noun]	（セッカイクの）<span class="inline-linzklar">王</span>【王】
島軸言	[noun]	island’s official language
骨軸倉字	[noun]	丸ゴシック調のフォント
冠軸官行	[noun]	アイル民族中心主義的政策
下筆軸	[noun]	二等事務員（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 2 番目に低い階級）
上筆軸	[noun]	上等事務員（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 4 番目に低い階級）
下翰軸	[noun]	二等事務監（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 7 番目に低い階級）
上翰軸	[noun]	上等事務監（アイル共和国の省庁の<span class="inline-linzklar">筆</span>【筆】において 9 番目に低い階級）
下兵軸	[noun]	二等実働員（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 2 番目に低い階級）
上兵軸	[noun]	上等実働員（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 4 番目に低い階級）
下将軸	[noun]	二等実働監（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 7 番目に低い階級）
上将軸	[noun]	上等実働監（アイル共和国の省庁の<span class="inline-linzklar">兵</span>【兵】において 9 番目に低い階級）
皇	[noun]	タム神（神を統率する神）、（セッカイクの）皇	
皇	[noun]	Tam (name)	
皇	[prefix]	Takang (language and ethnic name)	
皇	[abbreviation]	Takang (language and ethnic name)	
皇光	[noun]	天恵、タム神の恩恵、タカメク
皇処	[noun]	タムホエ、タンケ（セッカイク用語）
皇処之将	[noun]	他人のために自分を犠牲にする人、良い上司
皇水	[noun]	Tanna (place name and Cetkaik term)
皇下	[noun]	Tanut (city name)
皇山	[noun]	green square at the center of the Cetkaik board
皇色	[noun]	deep green colour
皇草	[noun]	tamkot (a type of drug)
皇言	[noun]	Takang language
皇石	[noun]	jade
