皇	[名詞]	タム神（神を統率する神）、（セッカイクの）皇	
皇	[名詞]	タム（人名）	
皇	[接頭辞]	タカン（言語・民族名）	
皇	[略号]	タカン（言語・民族名）	
皇光	[名詞]	天恵、タム神の恩恵、タカメク
皇処	[名詞]	タムホエ、タンケ（セッカイク用語）
皇処之将	[名詞]	他人のために自分を犠牲にする人、良い上司
皇水	[名詞]	タンナ（地名およびセッカイク用語）
皇下	[名詞]	タヌト（都市名）
皇山	[名詞]	（セッカイクの）中央の緑マス
皇色	[名詞]	深い緑色
皇草	[名詞]	タムコト（麻薬の一種）
皇言	[名詞]	タカン語
皇石	[名詞]	翡翠
皇力	[名詞]	皇効（宗教的概念およびセッカイク用語）
皇論	[名詞]	タムツイ（宗教名）
皇論		タムを最高神とするアニミズム的宗教。
皇論之書	[名詞]	タムツイの書
皇論之書		タムツイにおいて重要な教典。
皇来	[名詞]	タザク、タサク（人名）
皇再来	[名詞]	（セッカイクの減点役）タムの千日手
皇集	[名詞]	アタラム郡（アイル共和国の郡名）
皇島	[名詞]	アタラン島（アイル共和国を構成する島の一つ）
皇月島	[名詞]	タムシエルミワ島（ヴェフィス共和国を構成する島の一つ）
撃皇	[動詞]	（セッカイクで）タムを踏み越える
撃皇	[名詞]	（セッカイクの減点役）タムの踏み越え
硬皇力	[名詞]	強い皇効（セッカイクのルール変種のひとつ）
南	[名詞]	南、暖かい方向、日が最も高くにあるときの方向
南		向こうの世界において、「暖かい方向」と「日が昇るところの方向」の相対的な位置関係は、日本などの地球の北半球とは逆である。この辞書で採用している漢字転写では、「暖かい方向」を表す <span class="inline-linzklar">南</span> を【南】、「日が昇るところの方向」を表す <span class="inline-linzklar">東</span> を【東】と表記している。
